,tweet,class,prediction
8500,@TonyO97 fuck i look like shopping at that trash ass store,1,0
2626,RT @DessantiGina: @TonyJRodriguez @WolfVanHalen so tony I think yr a rude little cunt and too too young to even know what real rock and rol&#8230;,0,2
1739,Dis nicca lame,2,1
6956,"@DivaMonRoe2uHoE @CheefPolo hoe hoe hoe, merry Christmas",2,1
7172,"Gonna straight hip check the next hillbilly who tries to apply the term ""derecho"" to a run-of-the-mill thunderstorm. #WVWX",1,2
5000,"RT @_LexC__: I'm convinced that some of y'all bitches get pregnant purposely because ""birth control &amp; plan b pills"" are effective &#128533;&#128056;&#9749;&#65039;",1,2
19415,They're calling it #Sandy because the wind is going to make a lot girls clams really sandy,1,2
5116,I really just want to kill some towel head terrorists already &#128530; can high school be over now please?,0,2
10399,@operationSAFE @GaltsGirl lived there and can attest to that. Trust them over any muzzie nation by a million light years,2,0
7983,do they even make dresses any more that have straps &amp; cover your ass? Some of us have no tits &amp; a big ass. I will settle for a trash bag,1,2
13326,"Good even-ink, honkies!",1,2
2189,@Cee_Murda94 it's almost ya fucking birthday. So act right niglet,1,0
14040,&#8220;@AustinMahone: just got a new fish it's albino and I named him shaquita #yee&#8221; bahaha,2,1
10989,"@kieffer_jason keep talking I'm going to make when u can't talk, u going to be talking like a retard",1,0
11152,Young Gem &amp; Don Chief been killing it in the yo...going in on that real music..no bubble gum trash in the booth... http://t.co/lkjNb7uZmt,1,2
14629,@Ants_SNEweather Well you got to see pom-pom Pete,2,1
4991,This cowboys an redskins game was a hell of a game,2,0
499,"@SelfCuttingGirl @AnthonyCumia I thought he would think it was cute...you know, like when you shut your clam up for 5 minutes! #dunce",2,1
3018,How long are they going to let the fools in #Ferguson continue? Stop pussy footin' &amp; disperse them by WHATEVER means necessary!,2,1
4202,@yoKBFILTHY shit is trash,1,2
18849,guess rubes doesn't want to go on a date with me &#128532;,2,1
1710,RT @elchavaloko: I can see moose rockin himself back n forth in a corner of n empty room with his faggot hair all in his face sayin 2 himse&#8230;,1,0
1580,RT @__thaRealist: @Dono_44 yea that hoe was rocking Friday and last night,1,2
17348,@joeylattime @Mawson38 @ameriC00N thats just me rooting against a team I hate not banwagoning u retard u have a different favorite,0,1
16171,#creamteam leaving hoes w #cockbreath,1,2
13270,@charloosss @keepitplur @nicoleariel_ I'll chug my tall can . but homegirl won't approve lol,2,1
2740,Told my dad to go buy cookies for the graduation reception...this nigga bought Oreos.,0,1
4045,I just can't date a ghetto ass girl bruh,1,2
10904,Touchdown hoe ... touchdown hoe!!!!!,1,0
10590,"you's a muthaf***in lie &#8220;@LifeAsKing: @20_Pearls @corey_emanuel right! His TL is trash &#8230;. Now, mine? Bible scriptures and hymns&#8221;",1,2
14606,@CheCha__ be gone my nigguh,0,1
8966,"@Toetancchamon Wilde nog even checken op Twitter hoe het ging maar had zo'n heftige wond niet verwacht, heftig. Sterkte &amp; beterschap hoor!",1,0
15616,RT @irielee12: @drrrruuuu @Victoria_Finae ayyy what fags,1,0
4104,My ex just wanted a reason to continue to be a whole hoe outchea and tried to make me feel bad for a comment from a thirsty.,1,2
12994,@Buckm00se true sand niggers &amp; bum Brits claim he's a ATG hall of fame legend smh,0,1
15510,"No one understands how much it pisses me off when people use the word ""retard"".",1,2
6599,NBA ALLSTAR weekend is an unofficial negro holiday,1,2
7202,At all my ritz crackers. Idk what to do with myself anymore.,2,0
7547,"Lmao drake is on some bullshit with Serena Williams, wallah she looks like a tranny",1,0
7683,@bbluedreamm @kelliestebbins how original you faggots&#128530;&#128557;,1,0
3425,"&#8220;@BurgerKing: Tweet how you #WatchLikeaKing. http://t.co/jrgG9Eq4Xv&#8221;

I #WatchLikeaKing fo da colored folk dying from dis shit food",1,2
6193,Niggas aint worried bout other niggas messin wit dey hoes. Niggas worried boit hoes messin wit dey hoes,1,0
11194,RT @Kaedashian: &#8220;@WhitDAWGem_: There is nothing wrong with Ariana Grande..... Just cause she don't look like hoe.... Y'all gotta a problem.&#8230;,1,2
9015,The leftist/homosexual war on the #Catholic church kicked into high gear with the infiltration of the priesthood by boy-raping fags...,0,1
19041,RT @Jawdan__: You're a faggot if you ever had the Kim Possible BBM notification,1,0
4404,@ScottDeYager .......now. If you photshopped #Pinhead like #JohnGalt with PISTONS instead of #faggot NEEDLES&gt; I might be impressed&gt; #gay,1,0
9904,RT @TankTopshotta: A real nigga gone teach his bitch the game not run it on her &#128582;&#128130;&#128520;,0,1
15190,LMAO Joe was calling whitehouse offering advice. Yeah the President cares what a disgraced FORMER redneck House guy from fl says #morningjoe,2,0
15964,You know people ghetto when they leave the plastic shit on their TVs,1,2
10052,@jesjosie Eff dem hos.,1,2
16716,RT @prettycha305: Monkey see &#128585;&#128584;monkey do hoes&#128586;,1,2
3668,@ohyeahtrip Congratulations brother! We in that hoe!,1,2
19398,RT @Smiilze: I'm finally finished work. I'm going to have to chug this bottle of wine to catch up to you guys. Challenge accepted.,2,1
3472,@Levi_Page I don't bend that way queer. Thanks for the offer it's flattering.,0,2
18156,"RT @mitch77c: Whatchu know bout livin in the ghetto, eating cottage cheese 3 times a day. Lil salt Lil peppa lil A1, Lil barbeeequeee @Ueon&#8230;",1,2
424,"Because I'd rather wear my hair long and have piercings, I'm a faggot that will never go anywhere in life.",1,0
13165,"@VAKILL shut up faggot, you and Ras need to make an album together, we'll Ras fell off, you didn't (cont) http://t.co/nrmc483M",1,0
5883,@MoenKiana I am working fag,1,0
12447,&#128557;&#128557;&#128557; RT @tryna_be_famous: Brees been trash since this.... http://t.co/EvYSf5JFkt,1,2
5034,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Anal | Anal gaping tranny play panty nylon part http://t.co/35oTesnwmx",1,2
503,"And here standing in the red corner @John_Mayer_69 weighing 145lbs the pussy destroying champion of the world, Adam nobodyknowshisrace smith",1,2
