,Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
12238,12549,3,0,3,0,1,Kim K is alright but honestly so many niggas been in that I'd rather not.. And Miley got unfollowed that bitch is just strange.
11389,11681,9,3,6,0,1,I'm so mother fucken sexy. I have no time to be a retard.
14445,14791,3,0,3,0,1,"RT @Booskerz: ""@DailySexSupply: Girls that fuck back &gt;&gt;&gt; &#128525;&#128525; http://t.co/pI064ylhF6"" @iDocLyfe your last one was trash so here"
21900,22367,3,2,1,0,0,Think it's okay to take my property and break it? Fuck you bitch
7795,8015,3,0,3,0,1,"Apologizing in advance for my actions, I'm thee biggest bitch when I'm studying &#128522;&#128299;"
20770,21219,3,0,3,0,1,"She used to fuck wit A$AP, Too Shortsaid he know that bitch from way back"
5922,6091,3,1,0,2,2,@elise_palmer sounds like gypos to me - they used to do this all the time where I lived
13962,14302,3,0,3,0,1,Quit blowing up my feed bitches.
24349,24854,3,1,2,0,1,"please tell this bitch I'm subbin her, ik one of you faggs on here fuck with those lames, shit I'm blocked or I would lol"
24256,24760,3,0,3,0,1,"never lie 
never cry
never die
we gone die
love my friends
love my hoes
yellow sluts
call them gold"
14680,15031,6,0,6,0,1,"RT @ChiefKeef: You niggaz get so emotionaaaal, You remind me of my bitch!"
915,935,3,0,0,3,2,#tbt when i took my likkle monkey jimmys http://t.co/LIK3xpZ6eZ
4141,4263,3,0,3,0,1,"@MisterDimmadome 
spiked that bitch
damned nailed her down"
11214,11501,3,0,3,0,1,"I'm a pull up, eat on that pussy, and dip"
16702,17087,3,0,3,0,1,RT @NotWorldStar: When you drop all your hoes for one person and y'all don't end up together http://t.co/lLViTXweMX
18845,19262,3,0,0,3,2,RT @danwashburn: The Man Who Captured Muammar Gaddafi Was Wearing A Yankees Cap: http://t.co/7G70pOpW
23088,23571,3,0,0,3,2,Yall know Skip Bayless is about to slit his wrists over Romo! Lol
14684,15035,3,0,3,0,1,RT @Chill__Nigga: I can't be in my twenties stressing over a bitch who playin games. I'm straight lol
5453,5611,3,0,3,0,1,@_xxsarafina haha that hoe go hard rt
12222,12533,3,0,3,0,1,"Kevin hart 4""8 bitch"
950,971,3,0,1,2,2,&#128075; hi-ho http://t.co/FiC4FnRutZ
19294,19723,3,0,3,0,1,RT @itskingdee: @1inkkofrosess fuck them hoes! I have bigger problems like do you cook at your house lol
4231,4356,3,2,1,0,0,"@NYRKelsMads @DaniloNavarro85 Hey fag, I said this was your aunts. *He* said it was you."
16774,17159,3,1,2,0,1,RT @OfficialKingDre: WTF did this bitch do? &#128514;&#128514; https://t.co/5BFuSp9bfn
14573,14922,3,0,1,2,2,RT @Cajun_peach: Because humans aren't delicious ho RT @peta: Smarter than dogs AND your 3-year-old child. So why EAT them? http://t.co/eRT&#8230;
490,498,3,0,3,0,1,"""I will fuck u where u stand"". ""U dizzy bitch"". Two unique &amp; separate phrases I overheard a relative saying when I was younger."
1410,1440,3,1,2,0,1,"&#8220;@MattieTrump97: Eat a lot of protein
Eat a lot of pussy
#MattieTrumpsTipsForABetterLife&#8221;

Eat the whole ass"
9266,9522,3,0,3,0,1,"Fuck rebuild the tranny, I'm driving it like its been for the last 4 years till it finally goes out &#128514;&#128514;&#128514;"
12664,12978,3,0,3,0,1,Lord please get me out of this ghetto ass hospital &#128514;&#128514;
13142,13467,3,0,2,1,1,My sister called the chinks an asked was they open ctfu she fried!!
1925,1964,3,2,1,0,0,"&#8220;@thejanicexxx: o u unfollowed me so i can't dm u, so i'll say it here, you're a rude cunt lmao&#8221; you can dm me"
9905,10175,6,0,5,1,1,How can I not take my style back from niccas when niccas was taking my style WAY before.....Preach @1future &#128175; #RNS
20568,21015,3,0,0,3,2,Russel Martin had a miserable season but is quietly having a good September #Yankees #BlueJays #MLB
12128,12437,3,0,3,0,1,Just got rich. Took a broke nigga bitch
21759,22223,3,1,2,0,1,These ho%e$ for everybody just like these niggahs for everybody! A hoe gone be a hoe regardless and (cont) http://t.co/m09Dow96rw
17237,17629,3,1,2,0,1,"RT @SenorSteez: Man, now these hoes know &#128514;&#128176;&#128182;&#128184; #TheJigIsUp http://t.co/8W9Ag3bx1a"
471,479,3,0,3,0,1,"""I dont even need a picture of tamar, that bitch is beat in every picture""&#128514;&#128557;&#128514;&#128514;&#128514;"
20195,20640,3,0,1,2,2,RT @tishforprez: that pointy nail game is for da birds.
9054,9307,3,0,3,0,1,Famous women be the biggest hoes.
7415,7626,9,2,7,0,1,A bitch like you need to get fucked right every night
22187,22656,6,1,4,1,1,Till Michonne gutted dat hoe
15165,15523,3,0,0,3,2,"RT @Fant4stic63: Can kids say much when their parents pay for everything? RT @Andrea_Michele: If he paying every bill, I can't complain abo&#8230;"
14985,15341,6,3,1,2,0,RT @DestroTheNoble: I don't support that ya idiot. And if I'm a teabagger you're being teabagged. #OpenWide @nekolin @1SleepingGiant
8799,9043,3,0,3,0,1,Don't get yo bitch ass killed in new Atlanta baby!
7225,7432,3,0,0,3,2,"@tyler_wilde As in, ""throw birds with long pointy beaks at you""?"
8168,8395,3,2,1,0,0,"Brady heard yall say he was washed, now he washing the league on you hoe ass niggas."
14894,15250,3,0,3,0,1,RT @DaOfficialPRIME: &#128514; &#128514;RT @WestSideFlee: How you gone wife a bitch that let niggas lick on her head in public?
3271,3357,3,2,1,0,0,@GlitteredInPink hoe don't tweet me
3532,3626,3,2,1,0,0,"@ItsMander @kfc
You can always gets da colored folk back in da cage wit da KFC"
13346,13674,3,2,1,0,0,Niggas sleepin with bitches grandmas??? Lmfao maury fake af
18105,18510,3,0,3,0,1,RT @XBL_NexXx: all these faggots posting faces about to get the hot unfollow
14427,14770,3,0,0,3,2,RT @BlissTabitha: Homeowner Shoots Armed Suspect Who Attacked and Pistol Whipped Him http://t.co/VLuEwUGclg
9356,9614,3,0,0,3,2,GA Charlie @Charlie4927 @sholzbee @DorisTafoya1 @cat_lmbo @Jagauress @Walter_lars @lynnemrnp @AmyMek @Justin_Awe
21300,21761,3,0,3,0,1,"Technology ain't doin nothing, but making these hoes look better"
428,434,3,0,0,3,2,"""Brownies for my brownie"" I love this movie. &#128517;"
19500,19933,3,0,3,0,1,RT @leandr321: I can't never keep no bitch cause I put them hoze out
2041,2082,3,1,2,0,1,"' I ain't trippen cause I like her anyways , she got a niggah and I got a girl but anyways , yea anyways &#1041196;"
16294,16666,3,0,3,0,1,RT @Lpietrantonio: BPG bitch
3743,3850,3,0,2,1,1,@KEIRRANicolee I didn't know you was following me hoe &#128514;
12215,12526,3,0,3,0,1,"Keep it real, Keep it real, Keep it real, Keep it real. Nigga say he fucked my bitch and he couldn't wait to squeal"
4452,4583,3,0,0,3,2,"@QVC strawberry shortcake. Stacked with whipped cream, yellow spunge-cake, &amp; sliced #strawberries freshly picked from the farm w/ my kids."
6292,6473,3,0,3,0,1,@jqualley_ @_BeautifulKeezy bitch YESSSSS I make girls mad &#128514;&#128514;
12922,13241,3,0,3,0,1,Ms St aint no hoe. They fuckin Auburn up
24156,24658,6,0,1,5,2,lmao I s2g having roots with yellow/white hair makes it look so dirty I'm &#128567; http://t.co/SqbYdUiZr8
24293,24797,3,0,1,2,2,nope RT @DerekIsNormal: Just ordered Domino's. Am I trash?
3537,3631,3,0,3,0,1,@ItsYOUR_man make me white trash cousin fucker
11062,11347,3,0,3,0,1,I was such a pussy back then lol like its crazy
7373,7583,3,0,3,0,1,@youngblackbitch raspy ass voice annoying bitch???
8230,8457,3,1,2,0,1,Bumoose ducking those insults like a scared white pussy
12501,12813,3,1,0,2,2,"Lmao the shovel video is pretty awesome, she went down like a ton of bricks lol. Gotta love honky riff raff savages. That is all."
17214,17606,3,0,3,0,1,"RT @SaveTheBS: Get to bed, bitches, and only dream happy dreams."
