"","term","anger","anticipation","disgust","fear","joy","sadness","surprise","trust"
"1","aback",0,0,0,0,0,0,0,0
"2","abacus",0,0,0,0,0,0,0,1
"3","abandon",0,0,0,1,0,1,0,0
"4","abandoned",1,0,0,1,0,1,0,0
"5","abandonment",1,0,0,1,0,1,1,0
"6","abate",0,0,0,0,0,0,0,0
"7","abatement",0,0,0,0,0,0,0,0
"8","abba",0,0,0,0,0,0,0,0
"9","abbot",0,0,0,0,0,0,0,1
"10","abbreviate",0,0,0,0,0,0,0,0
"11","abbreviation",0,0,0,0,0,0,0,0
"12","abdomen",0,0,0,0,0,0,0,0
"13","abdominal",0,0,0,0,0,0,0,0
"14","abduction",0,0,0,1,0,1,1,0
"15","aberrant",0,0,0,0,0,0,0,0
"16","aberration",0,0,1,0,0,0,0,0
"17","abeyance",0,0,0,0,0,0,0,0
"18","abhor",1,0,1,1,0,0,0,0
"19","abhorrent",1,0,1,1,0,0,0,0
"20","abide",0,0,0,0,0,0,0,0
"21","ability",0,0,0,0,0,0,0,0
"22","abject",0,0,1,0,0,0,0,0
"23","ablation",0,0,0,0,0,0,0,0
"24","ablaze",0,0,0,0,0,0,0,0
"25","abnormal",0,0,1,0,0,0,0,0
"26","aboard",0,0,0,0,0,0,0,0
"27","abode",0,0,0,0,0,0,0,0
"28","abolish",1,0,0,0,0,0,0,0
"29","abolition",0,0,0,0,0,0,0,0
"30","abominable",0,0,1,1,0,0,0,0
"31","abomination",1,0,1,1,0,0,0,0
"32","aboriginal",0,0,0,0,0,0,0,0
"33","abort",0,0,0,0,0,0,0,0
"34","abortion",0,0,1,1,0,1,0,0
"35","abortive",0,0,0,0,0,1,0,0
"36","abound",0,0,0,0,0,0,0,0
"37","abovementioned",0,0,0,0,0,0,0,0
"38","abrasion",0,0,0,0,0,0,0,0
"39","abroad",0,0,0,0,0,0,0,0
"40","abrogate",0,0,0,0,0,0,0,0
"41","abrupt",0,0,0,0,0,0,1,0
"42","abruptly",0,0,0,0,0,0,0,0
"43","abscess",0,0,0,0,0,1,0,0
"44","absence",0,0,0,1,0,1,0,0
