100% certain	hundo p
real true	trill
One True Pairing	otp
Distracted in a way that motivates/inspires	distractivated
Joy of Missing Out	JOMO
mustache	tache
Not gonna lie	ngl
Suspect	sus
As Far As I Know	AFAIK
...as fuck	AF
Away From Keyboard	AFK
Am I Right	AIR
Love	<3
Chuckling For All to Hear	CFATH 
Thanks	THNX 
Have A Nice Day	HAND
See You	C U
See You Later	C U L8R
So What's Your Problem?	SWYP
Tears In My Eyes	TIME
Sealed With a Kiss	SWAK
Haha	hh
Chicks	CHX
Keep It Simple, Stupid	KISS
Such A Laugh	SAL
I don't know	IDK
No problem	NP
I have no idea	IHNI
Just so you know	JSYK
I don't care	IDC
Kill yourself	KYS
At The Moment	ATM
What Are You Doing	WYD
Where Are You At	WYA
In Real Life	IRL
Stop What You're Doing	SWYD
Said Nice Out Loud	SNOL
By The Way	BTW
You're On Your Own	YOYO
You Only Live Once	YOLO
As Soon As Possible	ASAP
Oh My god	OMG
Hugs And Kisses	HAK or XOXO
Laughing Out Loud	LOL
Rolling On The Floor Laughing	ROTFL
Rolling On The Floor Laughing	ROFL 
What Do You Mean By That	WDUM
Loving The Weather Today	LW
Loving The Weather Today	LTWT 
Loving The Weather Today	LWT 
For The Win	FTW
Message	MSG
Please	PLZ
Talk To You Later	TTYL
I Love You	ILY
I Love You	ILU
Because	B/C 
Because	BC
Thanks	THX
Thank you	THX
Thank you	TU
I Don't Know	IDK
For Your Information	FYI
Shaking My Head	SMH
Bye For Now	BFN
In My Opinion	IMO
In My Honest Opinion	IMHO
Best Friend
Boyfriend	BF
Best Friend Forever	BFF
Girlfriend	GF
Significant Other	SO
I Hate You	IH8U
Oh My Fucking God	OMFG
Shut The Fuck Up	STFU
What The Hell	WTH
What The Fuck	WTF
Just Kidding	JK
Get The Fuck Out	GTFO
On The Way	OTW
You're Welcome	YW
That Makes Sense	TMS
That Feel When	TFW
Thinking of You	TOU
Too Long; Didn't Read	TL;DR
Too Long; Didn't Read	TLDR
Too Long; Didn't Read	TL DR
"Laugh my ass off"	LMAO
A Moderate Amount of Hate	AMAOH
With	W
With	W/ 
Without	W/O 
Without	WO
Be Right Back	BRB
Good Game	GG
I ain't coming back	IACB
Good night	GN
Good morning	GM
Thank You so Much	TYSM
So Much	SM
Very	HELLA
Shaking My Head	SMH
I Know	IK
Your	UR
Really	RLY
be	b
see	c
okay	k
okay	kk
enjoy	njoy 
end	nd
oh	o
are	r
you	u
why	y
one	1 
won	1
anyone	any1
anyone	ne1 
no one	no1
to	2
too	2
two	2
today	2day
tune	2ne
for	4 
four	4
forget	4get 
afford	a4d
ate	8
great	gr8  
hate	h8
your and you're	ur
wonderful	1drfl 
before	b4 
easy	ez
someone	sum1 
see you	cu or cya
for you	4u
tomorrow	2mro 
tomorrow	2mo 
tomorrow	tmr
adieu	+u


